Steps,Total Reward,s1,s2,s3,s4
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,-0.05,-0.02,0.0,-0.02,-0.01
5,-0.21000000000000002,-0.05,-0.03,-0.02,-0.11
6,-0.37,-0.09,-0.11000000000000001,0.0,-0.16999999999999998
7,-0.18,0.09,-0.14999999999999997,-0.07999999999999999,-0.040000000000000036
8,0.13,0.05,-0.19,0.06,0.21000000000000002
9,-0.040000000000000036,0.0,0.06,0.06,-0.16000000000000003
10,-0.09999999999999998,-0.06999999999999999,0.27,-0.05,-0.25
11,-0.27999999999999997,-0.19999999999999998,-0.03,-0.08,0.030000000000000027
12,-0.23000000000000004,-0.3,-0.10000000000000003,-0.13,0.3
13,0.0800000000000001,-0.09999999999999998,0.13000000000000003,-0.14999999999999997,0.2
14,0.0699999999999999,0.12,0.09999999999999999,-0.15000000000000008,0.0
15,-0.27,0.029999999999999916,-0.15000000000000002,-0.1499999999999999,0.0
16,-0.36,-0.10999999999999999,-0.08999999999999997,-0.16000000000000003,0.0
17,0.13999999999999999,-0.15000000000000002,0.13999999999999999,0.15000000000000002,0.0
18,0.49,-0.16999999999999993,0.12,0.5599999999999999,-0.02
19,-0.15,-0.21999999999999997,-0.020000000000000004,0.09,0.0
20,-0.23000000000000004,-0.040000000000000036,-0.12000000000000001,-0.01999999999999999,-0.05
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,-0.01,0.0,0.0,0.0,-0.01
6,-0.13,-0.04,-0.02,0.0,-0.07
7,-0.07999999999999999,-0.049999999999999996,-0.06,0.0,0.03
8,0.06999999999999999,0.039999999999999994,0.04,0.0,-0.009999999999999995
9,-0.08,0.030000000000000002,0.02,-0.03,-0.1
10,-0.030000000000000013,-0.02,0.0,-0.07,0.06
11,-0.32999999999999996,-0.13999999999999999,-0.06,-0.19999999999999998,0.07
12,-0.68,-0.2,-0.15000000000000002,-0.2,-0.13
13,-0.44999999999999996,-0.19999999999999996,-0.26,0.020000000000000018,-0.010000000000000009
14,0.11999999999999988,0.019999999999999907,-0.30000000000000004,0.27,0.13
15,0.2500000000000001,0.17000000000000004,-0.029999999999999916,0.09,0.02
16,-0.1600000000000001,-0.24,0.1399999999999999,-0.020000000000000018,-0.039999999999999994
17,-0.4799999999999999,-0.18000000000000005,-0.019999999999999907,-0.09999999999999998,-0.18
18,-0.45999999999999996,-0.04999999999999993,-0.030000000000000027,-0.13,-0.25
19,-0.91,-0.21000000000000008,-0.13,-0.31999999999999995,-0.25
20,-0.68,-0.34999999999999987,-0.2300000000000001,-0.30000000000000004,0.19999999999999996
