Steps,Total Reward,s1,s2,s3,s4
1,0.0,0.0,,,
2,0.0,0.0,,,
3,-0.01,-0.01,,,
4,-0.1,-0.1,,,
5,-0.09999999999999999,-0.09999999999999999,,,
6,-0.1,-0.1,,,
7,0.12,0.12,,,
8,0.11,0.11,,,
9,-0.14,-0.14,,,
10,-0.15,-0.15,,,
11,0.08000000000000002,0.08000000000000002,,,
12,0.24,0.24,,,
13,-0.13,-0.13,,,
14,-0.16000000000000003,-0.16000000000000003,,,
15,-0.23999999999999994,-0.23999999999999994,,,
16,-0.28,-0.28,,,
17,-0.36,-0.36,,,
18,-0.42999999999999994,-0.42999999999999994,,,
19,-0.4500000000000002,-0.4500000000000002,,,
20,-0.46999999999999975,-0.46999999999999975,,,
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,-0.01,0.0,0.0,-0.01,0.0
4,-0.06999999999999999,0.0,-0.02,-0.049999999999999996,0.0
5,-0.10999999999999999,-0.07,-0.09999999999999999,0.06,0.0
6,-0.35,-0.22999999999999998,-0.1,0.0,-0.02
7,-0.15000000000000002,-0.2,0.09,0.0,-0.039999999999999994
8,-0.020000000000000004,0.030000000000000027,0.11,-0.02,-0.14
9,0.10999999999999996,0.14999999999999997,0.0,0.02,-0.06
10,0.07000000000000002,0.030000000000000027,-0.009999999999999998,-0.04,0.09
11,-0.11000000000000004,-0.040000000000000036,-0.08,-0.060000000000000005,0.07
12,-0.36,-0.03999999999999998,-0.15000000000000002,-0.12,-0.04999999999999999
13,-0.30999999999999994,-0.25,-0.06,-0.15,0.15
14,-0.6699999999999999,-0.31999999999999995,-0.18,-0.17000000000000004,0.0
15,-0.6699999999999999,-0.25,-0.19999999999999996,-0.14,-0.08
16,-0.13,0.030000000000000027,-0.22000000000000008,0.07000000000000006,-0.009999999999999995
17,0.16999999999999993,0.020000000000000018,-0.20000000000000007,0.27999999999999997,0.06999999999999999
18,-0.32999999999999985,-0.030000000000000027,-0.31999999999999984,0.020000000000000018,0.0
19,-0.6100000000000003,-0.19000000000000017,-0.42000000000000015,0.09,-0.09
20,-1.0499999999999998,-0.2699999999999998,-0.51,-0.07999999999999999,-0.19
