step,system_vehicles,system_total_stopped,system_total_waiting_time,system_VSP,system_mean_waiting_time,system_mean_speed,system_mean_acceleration,system_mean_VSP,system_total_C02_emissions,system_mean_fuel_consumption,system_total_fuel_consumption,system_out_lanes_density_avg ,system_lanes_density_avg ,system_queue_avg ,s1_stopped,s1_accumulated_waiting_time,s1_average_speed,s1_average_acceleration,s2_stopped,s2_accumulated_waiting_time,s2_average_speed,s2_average_acceleration,s3_stopped,s3_accumulated_waiting_time,s3_average_speed,s3_average_acceleration,s4_stopped,s4_accumulated_waiting_time,s4_average_speed,s4_average_acceleration,agents_total_stopped,agents_total_accumulated_waiting_time,total_accumulated_VSP_emissions
5.0,6,0,0.0,9.562533023112138,0.0,9.276702334507693,-0.09350110350642342,1.593755503852023,12676.500050040673,673.8806463619602,4043.283878171761,0.0,0.03671275273522317,0.0,0,0.0,0.8698308936703801,-0.11847222412761749,0,0.0,0.8698308936703801,-0.11847222412761749,0,0.0,0.8698308936703801,-0.11847222412761749,0,0.0,0.8698308936703801,-0.11847222412761749,0,0.0,9.56253302311214
10.0,9,0,0.0,38.99410145323418,0.0,9.901751988743586,0.2862295082141272,4.332677939248242,22383.682575190825,793.2693336444008,7139.4240027996075,0.006171620420657648,0.055071172414923424,0.0,0,0.0,0.9549564420522787,0.43076599416776956,0,0.0,0.9549564420522787,0.43076599416776956,0,0.0,0.9549564420522787,0.43076599416776956,0,0.0,0.9549564420522787,0.43076599416776956,0,0.0,38.99410145323418
15.0,11,1,1.0,-13.255511876281641,0.09090909090909091,9.118607386244175,-0.5725322195635587,-1.2050465342074217,15656.207684372082,453.9719555300969,4993.691510831066,0.012343240841315295,0.05516480003192455,0.006128652676995489,0,0.0,0.6834817238419086,-1.3629164889948824,0,0.0,0.6834817238419086,-1.3629164889948824,1,1.0,0.6834817238419086,-1.3629164889948824,0,0.0,0.6834817238419086,-1.3629164889948824,1,1.0,-34.26988385963364
20.0,15,2,8.0,28.20344091427095,0.5333333333333333,7.063442927605227,-0.0695596387095617,1.88022939428473,32497.59788138695,691.0312101918336,10365.468152877504,0.019568674367326858,0.0867990851234955,0.012296010087692155,0,0.0,0.6320733264587568,-0.048138018560809764,1,2.0,0.6320733264587568,-0.048138018560809764,1,6.0,0.6320733264587568,-0.048138018560809764,0,0.0,0.6320733264587568,-0.048138018560809764,2,8.0,11.890002554401857
25.0,20,7,31.0,28.72758889055229,1.55,5.617708646354213,-0.07039064009594423,1.4363794445276141,47836.56599760434,762.9057473586355,15258.114947172708,0.019251681507841338,0.10387346872017743,0.0428997799817456,3,7.0,0.44198030144397193,-0.025617627380985525,2,12.0,0.44198030144397193,-0.025617627380985525,1,11.0,0.44198030144397193,-0.025617627380985525,1,1.0,0.44198030144397193,-0.025617627380985525,7,31.0,6.384989005836623
30.0,22,9,53.0,-58.95293917325539,2.409090909090909,4.403383409013119,-0.5234416068433245,-2.6796790533297896,38396.344264085936,556.6951200881584,12247.292641939486,0.026068423514448862,0.10381854583687748,0.054957698576312886,5,24.0,0.4046393125707166,-0.7326777167735331,2,22.0,0.4046393125707166,-0.7326777167735331,0,0.0,0.4046393125707166,-0.7326777167735331,2,7.0,0.4046393125707166,-0.7326777167735331,9,53.0,-69.58103169407045
35.0,27,6,22.0,170.9614602629655,0.8148148148148148,5.822602891727992,0.6773073070702572,6.331905935665389,96066.6947131669,1134.870122685971,30641.493312521216,0.02722850824635836,0.13017942421580952,0.03654499095126303,5,39.0,0.6524511766111694,0.49236078761511515,0,13.0,0.6524511766111694,0.49236078761511515,0,0.0,0.6524511766111694,0.49236078761511515,1,9.0,0.6524511766111694,0.49236078761511515,6,61.0,112.8413528020489
40.0,28,0,0.0,179.80173215853046,0.0,7.269641862404741,0.10212537032765977,6.421490434233232,99972.23365766332,1138.8140952716803,31886.794667607057,0.07348861918562892,0.16461037335070297,0.0,0,33.0,0.7054528395310418,0.12032406568555892,0,2.0,0.7054528395310418,0.12032406568555892,0,2.0,0.7054528395310418,0.12032406568555892,0,3.0,0.7054528395310418,0.12032406568555892,0,40.0,149.19241653469257
45.0,30,3,9.0,6.53263869829612,0.3,7.520137461677504,-0.40933012828814913,0.21775462327653744,86892.90499240468,923.8371387350336,27715.114162051002,0.10101397939134632,0.17432238295117153,0.021360218728639784,0,13.0,0.6066944634734163,-0.45331521409024045,0,2.0,0.6066944634734163,-0.45331521409024045,0,0.0,0.6066944634734163,-0.45331521409024045,3,11.0,0.6066944634734163,-0.45331521409024045,3,26.0,3.4062254228883013
50.0,32,8,39.0,-41.09542706029995,1.21875,6.075027271264833,-0.38710144121188383,-1.2842320956343727,66954.99963168714,667.382063871637,21356.226043892384,0.13974696025507632,0.18890639367763093,0.05428297929897369,2,9.0,0.49550463053406824,-0.33058964813042746,2,8.0,0.49550463053406824,-0.33058964813042746,1,3.0,0.49550463053406824,-0.33058964813042746,3,26.0,0.49550463053406824,-0.33058964813042746,8,46.0,-39.8839770271134
