step,system_vehicles,system_total_stopped,system_total_waiting_time,system_VSP,system_mean_waiting_time,system_mean_speed,system_mean_acceleration,system_mean_VSP,system_total_C02_emissions,system_mean_fuel_consumption,system_total_fuel_consumption,system_out_lanes_density_avg ,system_lanes_density_avg ,system_queue_avg ,s1_stopped,s1_accumulated_waiting_time,s1_average_speed,s1_average_acceleration,s2_stopped,s2_accumulated_waiting_time,s2_average_speed,s2_average_acceleration,s3_stopped,s3_accumulated_waiting_time,s3_average_speed,s3_average_acceleration,s4_stopped,s4_accumulated_waiting_time,s4_average_speed,s4_average_acceleration,agents_total_stopped,agents_total_accumulated_waiting_time,total_accumulated_VSP_emissions
5.0,5,0,0.0,12.526677224809232,0.0,9.125618396708768,0.02442519043106568,2.5053354449618466,12030.98188242283,767.479209143747,3837.396045718735,0.0,0.030506690590825322,0.0,0,0.0,0.9074278916387178,-0.1259447243472096,0,0.0,0.9074278916387178,-0.1259447243472096,0,0.0,0.9074278916387178,-0.1259447243472096,0,0.0,0.9074278916387178,-0.1259447243472096,0,0.0,12.526677224809232
10.0,8,0,0.0,-13.089063960124792,0.0,9.465818799332624,-0.31100925467219054,-1.636132995015599,12316.042638752253,491.04042375106786,3928.323390008543,0.0,0.048880693482174,0.0,0,0.0,0.8863264942097207,-0.41559236128743005,0,0.0,0.8863264942097207,-0.41559236128743005,0,0.0,0.8863264942097207,-0.41559236128743005,0,0.0,0.8863264942097207,-0.41559236128743005,0,0.0,-13.089063960124793
15.0,11,0,0.0,43.70518497653883,0.0,9.204905929812305,0.17037888717568866,3.9731986342308034,28644.256102691557,830.5722186163446,9136.29440477979,0.019568674367326858,0.06862464537735415,0.0,0,0.0,0.9039105473192479,0.17517310402937875,0,0.0,0.9039105473192479,0.17517310402937875,0,0.0,0.9039105473192479,0.17517310402937875,0,0.0,0.9039105473192479,0.17517310402937875,0,0.0,43.705184976538845
20.0,16,1,2.0,-46.18188632762636,0.125,7.404314168342919,-0.6412202000408788,-2.8863678954766474,27486.42966492209,547.9445108523446,8767.112173637513,0.032074540252664756,0.09959387876108088,0.006128652676995489,0,0.0,0.7561897019707293,-0.9566469553400279,0,0.0,0.7561897019707293,-0.9566469553400279,1,2.0,0.7561897019707293,-0.9566469553400279,0,0.0,0.7561897019707293,-0.9566469553400279,1,2.0,-46.181886327626366
25.0,20,7,23.0,52.04061038885445,1.15,5.2422918889857915,-0.14508368332440497,2.6020305194427236,50411.17483750714,803.9661516641956,16079.32303328391,0.032074540252664756,0.11787851704538939,0.044083285075308815,2,4.0,0.4825318958236262,-0.3242672700626302,1,2.0,0.4825318958236262,-0.3242672700626302,4,17.0,0.4825318958236262,-0.3242672700626302,0,0.0,0.4825318958236262,-0.3242672700626302,7,23.0,22.323772185878664
30.0,21,9,61.0,26.527536211498372,2.9047619047619047,4.971317646836518,-0.011627543620017838,1.2632160100713514,46437.80681796756,705.3390709637648,14812.120490239064,0.03699016363250663,0.11687536381337445,0.055325482057647056,3,19.0,0.5210279285973334,-0.17402765266305356,1,1.0,0.5210279285973334,-0.17402765266305356,5,41.0,0.5210279285973334,-0.17402765266305356,0,0.0,0.5210279285973334,-0.17402765266305356,9,61.0,2.5962565546149605
35.0,26,12,114.0,-17.524015669168172,4.384615384615385,4.371879932081895,-0.32743258505694695,-0.674000602660314,51447.45321770104,631.1597560321856,16410.15365683683,0.05555447536788858,0.1412350641735218,0.0737501448223347,3,34.0,0.4231817780317534,-0.08831485902752773,2,9.0,0.4231817780317534,-0.08831485902752773,7,71.0,0.4231817780317534,-0.08831485902752773,0,0.0,0.4231817780317534,-0.08831485902752773,12,114.0,11.505747250444243
40.0,29,17,190.0,-41.387711920240996,6.551724137931035,3.4465399616342025,-0.34734501018428715,-1.4271624800083103,60030.30087708627,660.2754993210355,19147.989480310032,0.048968595494337484,0.15962447389073528,0.10451378541837665,4,50.0,0.38478053744498986,-0.3797248856064684,4,28.0,0.38478053744498986,-0.3797248856064684,9,112.0,0.38478053744498986,-0.3797248856064684,0,0.0,0.38478053744498986,-0.3797248856064684,17,190.0,-47.16521134690872
45.0,32,16,213.0,22.992610273599798,6.65625,3.6142711185017697,0.08058780353181619,0.7185190710499936,80133.80106829196,798.7554765383934,25560.175249228596,0.04917077942979933,0.18406088637409201,0.0982562295103947,1,46.0,0.399949336864205,-0.07467756897926195,4,48.0,0.399949336864205,-0.07467756897926195,11,164.0,0.399949336864205,-0.07467756897926195,0,0.0,0.399949336864205,-0.07467756897926195,16,258.0,4.131619567631702
50.0,35,18,252.0,46.87400805790209,7.2,3.555534176649674,-0.03840947644894551,1.3392573730829167,85224.42660169567,776.684728363177,27183.9654927112,0.050018084951211066,0.18410728323747003,0.1105297755804956,5,58.0,0.4173890419530235,0.07317086314747677,2,46.0,0.4173890419530235,0.07317086314747677,11,219.0,0.4173890419530235,0.07317086314747677,0,0.0,0.4173890419530235,0.07317086314747677,18,323.0,34.117038417529216
55.0,42,14,213.0,130.03380734032083,5.071428571428571,4.964928952494012,0.3015823736307806,3.0960430319124,118014.95826132376,896.2494268387272,37642.47592722654,0.07567493830783673,0.2150792709632308,0.08585953461397496,5,81.0,0.5332829971242792,0.22948006332703774,0,17.0,0.5332829971242792,0.22948006332703774,9,241.0,0.5332829971242792,0.22948006332703774,0,0.0,0.5332829971242792,0.22948006332703774,14,339.0,101.05975013433569
60.0,45,8,106.0,130.83469547220758,2.3555555555555556,5.876107603842181,0.03705261792446087,2.9074376771601687,127734.55285174349,905.3862067530366,40742.37930388666,0.12126106136228594,0.24221743334515602,0.0491228715994762,4,88.0,0.6382073273890871,-0.04310867525675485,0,0.0,0.6382073273890871,-0.04310867525675485,4,205.0,0.6382073273890871,-0.04310867525675485,0,2.0,0.6382073273890871,-0.04310867525675485,8,295.0,79.18331063019978
65.0,44,7,63.0,128.71587949156577,1.4318181818181819,5.659223646971373,-0.0028306016995223674,2.925360897535586,120385.27165447797,872.6847578265155,38398.12934436669,0.16292389606570182,0.2601791756484502,0.043363967988626136,6,101.0,0.5616696399788299,-0.09970507385311546,0,2.0,0.5616696399788299,-0.09970507385311546,1,158.0,0.5616696399788299,-0.09970507385311546,0,2.0,0.5616696399788299,-0.09970507385311546,7,263.0,98.1858915221461
70.0,47,14,107.0,19.986789946156495,2.276595744680851,4.630539735663843,-0.25335973032227455,0.4252508499182236,120266.83999085696,816.189568546369,38360.90972167934,0.19061188131544182,0.27596848070838237,0.09037854601792611,7,130.0,0.40437771923627086,-0.6362088604840204,1,3.0,0.40437771923627086,-0.6362088604840204,3,162.0,0.40437771923627086,-0.6362088604840204,3,11.0,0.40437771923627086,-0.6362088604840204,14,306.0,-29.242094536692534
75.0,50,23,207.0,22.30194653845364,4.14,3.5620240730874726,-0.18970199548570407,0.44603893076907275,114468.64303337687,730.2355888000768,36511.77944000384,0.2038083856800592,0.2899575023116971,0.15000435054902894,9,172.0,0.2967391575518567,-0.2542591069015831,3,12.0,0.2967391575518567,-0.2542591069015831,6,187.0,0.2967391575518567,-0.2542591069015831,5,33.0,0.2967391575518567,-0.2542591069015831,23,404.0,-15.803822591868373
