tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
88.00;553296219#0_0;0.34;11.40;29.00;0.05;893247430_0;5.10;0.00;tripinfo_veh48 routing_veh48;59.00;veh48;1;458.99;0.88;0.00;16.19;veh_passenger;;1;4.00
103.00;404966383#1_0;9.91;1.45;5.00;0.78;42207958#1_1;5.10;0.00;tripinfo_veh7 routing_veh7;98.00;veh7;1;885.95;0.89;0.00;11.91;veh_passenger;;0;0.00
107.00;-258715367_0;38.77;8.51;8.00;0.76;-86484905#1_0;5.10;0.00;tripinfo_veh12 routing_veh12;99.00;veh12;1;940.60;1.05;0.00;19.28;veh_passenger;;1;3.00
107.00;61429486#2_0;89.72;15.01;19.00;0.30;-400449376#0_0;0.20;0.00;tripinfo_veh31 routing_veh31;88.00;veh31;1;1189.97;1.15;0.00;16.41;veh_passenger;;0;0.00
146.00;427719632#2_0;0.42;6.76;11.00;0.14;534903531#2_0;5.10;0.00;tripinfo_veh18 routing_veh18;135.00;veh18;1;934.37;0.94;0.00;58.90;veh_passenger;;1;46.00
176.00;304931621_0;27.20;7.46;29.00;0.65;-241308377_0;5.10;0.00;tripinfo_veh47 routing_veh47;147.00;veh47;1;1493.56;0.90;0.00;17.46;veh_passenger;;0;0.00
184.00;347760566_0;19.74;11.11;53.00;0.52;257861000#1_0;5.10;0.00;tripinfo_veh87 routing_veh87;131.00;veh87;1;1128.01;1.00;0.00;18.13;veh_passenger;;1;1.00
198.00;241308385_0;34.43;13.21;137.00;0.07;-242069235#1_0;5.10;0.00;tripinfo_veh227 routing_veh227;61.00;veh227;1;611.19;1.02;0.00;11.98;veh_passenger;;0;0.00
213.00;48537859_0;18.04;9.48;80.00;0.98;535613367#4_1;5.10;0.00;tripinfo_veh131 routing_veh131;133.00;veh131;1;1346.55;1.01;0.00;28.83;veh_passenger;;1;4.00
216.00;-61426882#3_0;31.01;4.24;7.00;0.36;86484949#1_0;3.20;0.00;tripinfo_veh11 routing_veh11;209.00;veh11;1;1821.04;1.03;0.00;38.42;veh_passenger;;1;5.00
216.00;542542878_0;124.48;12.05;60.00;0.88;98607732_0;5.10;12.59;tripinfo_veh98 routing_veh98;156.00;veh98;1;1510.29;0.91;0.00;28.16;veh_passenger;;1;5.00
221.00;42201259#6_1;158.87;24.66;47.00;0.55;-86484936_0;5.10;4.31;tripinfo_veh77 routing_veh77;174.00;veh77;1;2154.99;1.03;0.00;28.39;veh_passenger;;0;0.00
